import time: self [us] | cumulative | imported package
import time:       540 |        540 |                                           torch.utils.data.datapipes.iter.grouping
import time:       258 |        258 |                                             torch.utils.data.datapipes.utils.decoder
import time:       128 |        386 |                                           torch.utils.data.datapipes.iter.routeddecoder
import time:       122 |        122 |                                           torch.utils.data.datapipes.iter.selecting
import time:       199 |        199 |                                           torch.utils.data.datapipes.iter.sharding
import time:       112 |        112 |                                           torch.utils.data.datapipes.iter.streamreader
import time:       472 |       6844 |                                         torch.utils.data.datapipes.iter
import time:       281 |        281 |                                           torch.utils.data.datapipes.map.callable
import time:       133 |        133 |                                           torch.utils.data.datapipes.map.combinatorics
import time:       167 |        167 |                                           torch.utils.data.datapipes.map.combining
import time:       129 |        129 |                                           torch.utils.data.datapipes.map.grouping
import time:       107 |        107 |                                           torch.utils.data.datapipes.map.utils
import time:       203 |       1017 |                                         torch.utils.data.datapipes.map
import time:       298 |      13839 |                                       torch.utils.data.datapipes
import time:        22 |      13860 |                                     torch.utils.data.datapipes.iter
import time:        14 |      13873 |                                   torch.utils.data.datapipes.iter.sharding
import time:       216 |        216 |                                   torch.utils.data.graph
import time:       308 |      14397 |                                 torch.utils.data.graph_settings
import time:       610 |      31839 |                               torch.utils.data.dataloader
import time:       116 |        116 |                               torch.utils.data.distributed
import time:       501 |      32456 |                             torch.utils.data
import time:        87 |         87 |                             torch.utils.deterministic
import time:       298 |        298 |                             torch.utils.hooks
import time:       271 |        271 |                             torch.utils.backend_registration
import time:        72 |         72 |                             torch.utils.cpp_backtrace
import time:       361 |        361 |                             torch.utils.throughput_benchmark
import time:       553 |      35125 |                           torch.utils
import time:       512 |        512 |                           torchgen
import time:       285 |        285 |                               torchgen.code_template
import time:       525 |        809 |                             torchgen.utils
import time:      6929 |       7738 |                           torchgen.model
import time:       852 |      44227 |                         torch.utils._python_dispatch
import time:       854 |      45886 |                       torch.nn.modules.module
import time:       424 |        424 |                               torch.distributed.autograd
import time:       407 |        407 |                                 torch.futures
import time:       223 |        223 |                                 torch.distributed.rpc._utils
import time:       234 |        234 |                                 torch.distributed.rpc.constants
import time:       861 |        861 |                                 torch.distributed.rpc.internal
import time:       717 |       2440 |                               torch.distributed.rpc.api
import time:       375 |        375 |                               torch.distributed.rpc.backend_registry
import time:       167 |        167 |                               torch.distributed.rpc.functions
import time:       173 |        173 |                               torch.distributed.rpc.options
import time:       275 |        275 |                                                   torch._functorch
import time:       309 |        309 |                                                       torch.utils._contextlib
import time:       377 |        686 |                                                     torch.autograd.grad_mode
import time:       298 |        984 |                                                   torch.autograd.forward_ad
import time:       476 |       1734 |                                                 torch._functorch.pyfunctorch
import time:       536 |       2270 |                                               torch._ops
import time:       785 |        785 |                                               torch._library.utils
import time:       547 |       3600 |                                             torch._library.autograd
import time:       291 |        291 |                                             torch._library.fake_impl
import time:       219 |        219 |                                               torch.utils._ordered_set
import time:       235 |        235 |                                               torch._library.effects
import time:       242 |        695 |                                             torch._library.simple_registry
import time:       309 |        309 |                                             torch._library.fake_class_registry
import time:       341 |        341 |                                               torch.utils._exposed_in
import time:       271 |        271 |                                               torch._library.custom_ops
import time:       662 |        662 |                                                 torch._library.opaque_object
import time:       358 |       1020 |                                               torch._library.infer_schema
import time:       300 |       1931 |                                             torch._library.triton
import time:       522 |       7346 |                                           torch._library
import time:        13 |       7358 |                                         torch._library.opaque_object
import time:      2664 |      10022 |                                       torch.utils._pytree
import time:       235 |      10256 |                                     torch._vmap_internals
import time:       289 |        289 |                                     torch.autograd.functional
import time:       407 |        407 |                                       torch.autograd.variable
import time:       639 |       1046 |                                     torch.autograd.graph
import time:       209 |        209 |                                     torch.autograd.anomaly_mode
import time:       252 |        252 |                                           torch._functorch.utils
import time:       171 |        171 |                                             torch._functorch.predispatch
import time:       341 |        511 |                                           torch._functorch.vmap
import time:       214 |        975 |                                         torch._functorch.apis
import time:       626 |       1601 |                                       torch._functorch.autograd_function
import time:       373 |       1973 |                                     torch.autograd.function
import time:       318 |        318 |                                         torch.testing._utils
import time:      1556 |       1556 |                                           cmath
import time:       529 |       2085 |                                         torch.testing._comparison
import time:       216 |        216 |                                         torch.testing._creation
import time:       240 |       2857 |                                       torch.testing
import time:       587 |       3443 |                                     torch.autograd.gradcheck
import time:       674 |        674 |                                       torch.autograd.profiler_util
import time:       598 |       1271 |                                     torch.autograd.profiler
import time:      1478 |      19962 |                                   torch.autograd
import time:       294 |      20255 |                                 torch.autograd.profiler_legacy
import time:       939 |      21194 |                               torch.distributed.rpc.server_process_global_profiler
import time:      3480 |      28251 |                             torch.distributed.rpc
import time:       497 |        497 |                                         pickletools
import time:       248 |        248 |                                         torch.package._digraph
import time:       199 |        199 |                                         torch.package._importlib
import time:       263 |        263 |                                         torch.package._mangling
import time:       233 |        233 |                                           torch.package.importer
import time:       200 |        432 |                                         torch.package._package_pickler
import time:        75 |         75 |                                         torch.package._stdlib
import time:       258 |        258 |                                         torch.package.find_file_dependencies
import time:       189 |        189 |                                         torch.package.glob_group
import time:      1228 |       3386 |                                       torch.package.package_exporter
import time:       193 |       3579 |                                     torch.package.analyze.find_first_use_of_broken_modules
import time:       102 |        102 |                                     torch.package.analyze.trace_dependencies
import time:       447 |       4127 |                                   torch.package.analyze
import time:       104 |       4231 |                                 torch.package.analyze.is_from_package
import time:       194 |        194 |                                 torch.package.file_structure_representation
import time:       243 |        243 |                                   torch.package._directory_reader
import time:       115 |        115 |                                   torch.package._package_unpickler
import time:       392 |        749 |                                 torch.package.package_importer
import time:       286 |       5459 |                               torch.package
import time:        11 |       5470 |                             torch.package._mangling
import time:       434 |        434 |                             torch._awaits
import time:       750 |      34903 |                           torch._jit_internal
import time:      1288 |       1288 |                           torch._torch_docs
import time:       193 |        193 |                           torch.nn._reduction
import time:       375 |        375 |                             torch.nn.modules.utils
import time:       248 |        622 |                           torch.nn.grad
import time:      3052 |      40056 |                         torch.nn.functional
import time:       334 |        334 |                         torch.nn.init
import time:       217 |        217 |                         torch.nn.modules.lazy
import time:       582 |      41188 |                       torch.nn.modules.linear
import time:       827 |        827 |                       torch.nn.modules.activation
import time:       537 |        537 |                         torch.nn.modules.container
import time:       345 |        881 |                       torch.nn.modules.adaptive
import time:       286 |        286 |                         torch.nn.modules._functions
import time:       519 |        804 |                       torch.nn.modules.batchnorm
import time:       215 |        215 |                       torch.nn.modules.channelshuffle
import time:       443 |        443 |                         torch.nn.common_types
import time:       600 |       1043 |                       torch.nn.modules.conv
import time:       258 |        258 |                       torch.nn.modules.distance
import time:       250 |        250 |                       torch.nn.modules.dropout
import time:       174 |        174 |                       torch.nn.modules.flatten
import time:       181 |        181 |                       torch.nn.modules.fold
import time:       281 |        281 |                       torch.nn.modules.instancenorm
import time:       654 |        654 |                       torch.nn.modules.linear_cross_entropy_options
import time:       557 |        557 |                       torch.nn.modules.loss
import time:       375 |        375 |                       torch.nn.modules.normalization
import time:       380 |        380 |                       torch.nn.modules.padding
import time:       226 |        226 |                       torch.nn.modules.pixelshuffle
import time:       527 |        527 |                       torch.nn.modules.pooling
import time:       187 |        187 |                                 torch.__future__
import time:       274 |        461 |                               torch.nn.utils.parametrize
import time:       575 |       1035 |                             torch.nn.utils.parametrizations
import time:       550 |        550 |                             torch.nn.utils.rnn
import time:       222 |        222 |                               torch.nn.utils._named_member_accessor
import time:       268 |        489 |                             torch.nn.utils.stateless
import time:       201 |        201 |                               torch.utils._foreach_utils
import time:       232 |        433 |                             torch.nn.utils.clip_grad
import time:        96 |         96 |                             torch.nn.utils.convert_parameters
import time:       116 |        116 |                             torch.nn.utils.fusion
import time:        81 |         81 |                             torch.nn.utils.init
import time:       187 |        187 |                             torch.nn.utils.memory_format
import time:       301 |        301 |                             torch.nn.utils.spectral_norm
import time:       137 |        137 |                             torch.nn.utils.weight_norm
import time:       480 |       3900 |                           torch.nn.utils
import time:        11 |       3910 |                         torch.nn.utils.rnn
import time:      2208 |       6117 |                       torch.nn.modules.rnn
import time:       286 |        286 |                       torch.nn.modules.sparse
import time:       348 |        348 |                       torch.nn.modules.transformer
import time:       221 |        221 |                       torch.nn.modules.upsampling
import time:       538 |     102209 |                     torch.nn.modules
import time:       393 |        393 |                           torch.backends.cpu
import time:       267 |        267 |                           torch.backends.cuda
import time:       351 |        351 |                             torch.backends.cudnn.rnn
import time:       351 |        701 |                           torch.backends.cudnn
import time:       292 |        292 |                           torch.backends.cusparselt
import time:       364 |        364 |                           torch.backends.kleidiai
import time:       212 |        212 |                           torch.backends.mha
import time:       276 |        276 |                           torch.backends.miopen
import time:       128 |        128 |                           torch.backends.mkl
import time:       687 |        687 |                           torch.backends.mkldnn
import time:       612 |        612 |                             torch.library
import time:       126 |        738 |                           torch.backends.mps
import time:       225 |        225 |                           torch.backends.nnpack
import time:        78 |         78 |                           torch.backends.openmp
import time:        41 |         41 |                             opt_einsum
import time:       284 |        325 |                           torch.backends.opt_einsum
import time:       427 |        427 |                           torch.backends.python_native
import time:       118 |        118 |                           torch.backends.quantized
import time:       581 |       5804 |                         torch.backends
import time:         9 |       5812 |                       torch.backends.cuda
import time:       223 |        223 |                       torch.nn.attention._registry
import time:       400 |        400 |                       torch.nn.attention._fa3
import time:       375 |        375 |                       torch.nn.attention._fa4
import time:       548 |       7357 |                     torch.nn.attention
import time:       177 |        177 |                         torch.nn.parallel.parallel_apply
import time:       195 |        195 |                             torch.cuda.nccl
import time:       180 |        374 |                           torch.nn.parallel.comm
import time:       211 |        585 |                         torch.nn.parallel.replicate
import time:       269 |        269 |                           torch.nn.parallel._functions
import time:       276 |        544 |                         torch.nn.parallel.scatter_gather
import time:       346 |       1650 |                       torch.nn.parallel.data_parallel
import time:       414 |        414 |                             torch.distributed.algorithms.join
import time:       408 |        821 |                           torch.distributed.algorithms
import time:        10 |        830 |                         torch.distributed.algorithms.join
import time:       406 |        406 |                         torch.distributed.utils
import time:      1192 |       2428 |                       torch.nn.parallel.distributed
import time:       306 |       4383 |                     torch.nn.parallel
import time:      1449 |     115951 |                   torch.nn
import time:        10 |     115960 |                 torch.nn.functional
import time:       187 |        187 |                   torch._linalg_utils
import time:       239 |        425 |                 torch._lowrank
import time:      1468 |     117853 |               torch.functional
import time:       210 |        210 |               torch.__config__
import time:       190 |        190 |                 torch.accelerator._utils
import time:       170 |        170 |                 torch.accelerator.graphs
import time:       195 |        195 |                 torch.accelerator.memory
import time:       324 |        878 |               torch.accelerator
import time:       125 |        125 |                   torch.cpu.amp.autocast_mode
import time:        84 |         84 |                   torch.cpu.amp.grad_scaler
import time:       287 |        495 |                 torch.cpu.amp
import time:       355 |        849 |               torch.cpu
import time:       736 |        736 |                   torch.distributions.constraints
import time:       263 |        263 |                     torch.distributions.utils
import time:       282 |        545 |                   torch.distributions.distribution
import time:      1947 |       3226 |                 torch.distributions.transforms
import time:       160 |        160 |                   torch.distributions.exp_family
import time:       215 |        375 |                 torch.distributions.bernoulli
import time:       220 |        220 |                   torch.distributions.dirichlet
import time:       142 |        362 |                 torch.distributions.beta
import time:       689 |        689 |                 torch.distributions.binomial
import time:       220 |        220 |                 torch.distributions.categorical
import time:       115 |        115 |                 torch.distributions.cauchy
import time:       284 |        284 |                   torch.distributions.gamma
import time:       159 |        442 |                 torch.distributions.chi2
import time:       224 |        224 |                 torch.distributions.constraint_registry
import time:       254 |        254 |                 torch.distributions.continuous_bernoulli
import time:       201 |        201 |                 torch.distributions.exponential
import time:       108 |        108 |                 torch.distributions.fishersnedecor
import time:       220 |        220 |                 torch.distributions.generalized_pareto
import time:       209 |        209 |                 torch.distributions.geometric
import time:       124 |        124 |                     torch.distributions.independent
import time:       179 |        303 |                   torch.distributions.transformed_distribution
import time:       206 |        206 |                   torch.distributions.uniform
import time:        97 |        605 |                 torch.distributions.gumbel
import time:        94 |         94 |                 torch.distributions.half_cauchy
import time:       284 |        284 |                   torch.distributions.normal
import time:        88 |        371 |                 torch.distributions.half_normal
import time:        97 |         97 |                 torch.distributions.inverse_gamma
import time:       190 |        190 |                   torch.distributions.laplace
import time:       119 |        119 |                     torch.distributions.multivariate_normal
import time:       294 |        413 |                   torch.distributions.lowrank_multivariate_normal
import time:       248 |        248 |                   torch.distributions.one_hot_categorical
import time:       200 |        200 |                   torch.distributions.pareto
import time:       169 |        169 |                   torch.distributions.poisson
import time:       374 |       1592 |                 torch.distributions.kl
import time:       167 |        167 |                 torch.distributions.kumaraswamy
import time:       187 |        187 |                 torch.distributions.lkj_cholesky
import time:       170 |        170 |                 torch.distributions.log_normal
import time:       148 |        148 |                 torch.distributions.logistic_normal
import time:       168 |        168 |                 torch.distributions.mixture_same_family
import time:       275 |        275 |                 torch.distributions.multinomial
import time:       458 |        458 |                 torch.distributions.negative_binomial
import time:       195 |        195 |                 torch.distributions.relaxed_bernoulli
import time:       219 |        219 |                 torch.distributions.relaxed_categorical
import time:       537 |        537 |                 torch.distributions.studentT
import time:       343 |        343 |                       torch.jit._builtins
import time:       964 |       1307 |                     torch.jit._async
import time:       189 |        189 |                     torch.jit._await
import time:       156 |        156 |                     torch.jit._decomposition_utils
import time:       240 |        240 |                         torch._classes
import time:       334 |        334 |                         torch.jit._fuser
import time:        47 |         47 |                           monkeytype
import time:       291 |        338 |                         torch.jit._monkeytype_config
import time:       238 |        238 |                           torch.jit._check
import time:       430 |        430 |                           torch.jit._state
import time:       249 |        249 |                             torch.jit.annotations
import time:       205 |        205 |                             torch.jit._dataclass_impls
import time:       702 |       1155 |                           torch.jit.frontend
import time:       437 |       2258 |                         torch.jit._recursive
import time:       105 |        105 |                         torch.jit._serialization
import time:       974 |       4247 |                       torch.jit._script
import time:       182 |       4428 |                     torch.jit._freeze
import time:       198 |        198 |                     torch.jit._ir_utils
import time:       545 |        545 |                     torch.jit._trace
import time:       508 |       7329 |                   torch.jit
import time:       135 |       7463 |                 torch.distributions.von_mises
import time:       353 |        353 |                 torch.distributions.weibull
import time:       256 |        256 |                 torch.distributions.wishart
import time:       572 |      20556 |               torch.distributions
import time:       463 |        463 |               torch.fft
import time:       337 |        337 |               torch.hub
import time:       388 |        388 |               torch.linalg
import time:       401 |        401 |                 torch.mps.profiler
import time:       152 |        152 |                 torch.mps.event
import time:       217 |        769 |               torch.mps
import time:       234 |        234 |                 torch._environment
import time:       373 |        373 |                 torch.mtia._utils
import time:       155 |        155 |                 torch.mtia.memory
import time:       761 |        761 |                 torch.mtia.mtia_graph
import time:       294 |       1815 |               torch.mtia
import time:       396 |        396 |                   multiprocessing.util
import time:       307 |        307 |                   multiprocessing.resource_sharer
import time:       342 |       1044 |                 torch.multiprocessing.reductions
import time:      1726 |       1726 |                     _multiprocessing
import time:        55 |         55 |                     _winapi
import time:       549 |       2329 |                   multiprocessing.connection
import time:       331 |       2660 |                 torch.multiprocessing.spawn
import time:        85 |         85 |                     runpy
import time:       307 |        392 |                   multiprocessing.spawn
import time:      2049 |       2049 |                   _posixshmem
import time:       481 |       2921 |                 multiprocessing.resource_tracker
import time:       167 |       6790 |               torch.multiprocessing
import time:       167 |        167 |                   torch.nested._internal
import time:       165 |        165 |                             torch.fx._compatibility
import time:       450 |        615 |                           torch.fx.immutable_collections
import time:       413 |        413 |                                 torch.fx.experimental
import time:      1062 |       1062 |                                 torch.fx.experimental._config
import time:       916 |        916 |                                   torch.utils._dtype_abbrs
import time:       371 |        371 |                                     torch.return_types
import time:       334 |        705 |                                   torch.fx._pytree
import time:       176 |        176 |                                       torch.utils._inspect
import time:       514 |        690 |                                     torch.fx.operator_schemas
import time:      3971 |       4660 |                                   torch.fx.node
import time:      1414 |       1414 |                                                   torch.fx.experimental.unification.multipledispatch.utils
import time:       262 |        262 |                                                   torch.fx.experimental.unification.multipledispatch.variadic
import time:       200 |       1875 |                                                 torch.fx.experimental.unification.multipledispatch.conflict
import time:       398 |       2272 |                                               torch.fx.experimental.unification.multipledispatch.dispatcher
import time:       223 |       2494 |                                             torch.fx.experimental.unification.multipledispatch.core
import time:       284 |       2778 |                                           torch.fx.experimental.unification.multipledispatch
import time:       177 |       2955 |                                         torch.fx.experimental.unification.dispatch
import time:       325 |        325 |                                         torch.fx.experimental.unification.unification_tools
import time:       156 |        156 |                                         torch.fx.experimental.unification.utils
import time:       175 |        175 |                                         torch.fx.experimental.unification.variable
import time:       290 |       3899 |                                       torch.fx.experimental.unification.core
import time:       136 |        136 |                                       torch.fx.experimental.unification.more
import time:       317 |       4352 |                                     torch.fx.experimental.unification
import time:       441 |       4792 |                                   torch.fx.tensor_type
import time:      2241 |      13312 |                                 torch.fx.graph
import time:       561 |      15346 |                               torch.fx.graph_module
import time:       192 |      15537 |                             torch.fx._lazy_graph_module
import time:       497 |        497 |                               torch.fx.traceback
import time:       341 |        341 |                                     pkgutil
import time:       335 |        335 |                                     torch._logging.structured
import time:       875 |        875 |                                       unittest.mock
import time:       357 |        357 |                                       torch.utils._traceback
import time:       257 |        257 |                                       torch.utils.weak
import time:      3101 |       4587 |                                     torch._guards
import time:       996 |       6258 |                                   torch._logging._internal
import time:       389 |       6646 |                                 torch._logging._registrations
import time:       376 |       7021 |                               torch._logging
import time:       683 |       8200 |                             torch.fx.proxy
import time:       718 |      24454 |                           torch.fx._symbolic_trace
import time:       187 |        187 |                             torch.fx.config
import time:       821 |       1007 |                           torch.fx.interpreter
import time:       612 |        612 |                           torch.fx.subgraph_rewriter
import time:       384 |      27070 |                         torch.fx
import time:        11 |      27081 |                       torch.fx.experimental
import time:       390 |      27470 |                     torch.fx.experimental._constant_symnode
import time:       320 |      27789 |                   torch.nested._internal.nested_int
import time:       602 |      28557 |                 torch.nested._internal.nested_tensor
import time:       597 |      29154 |               torch.nested
import time:       470 |        470 |                   torch.optim.optimizer
import time:       701 |       1170 |                 torch.optim.lr_scheduler
import time:       298 |        298 |                 torch.optim.swa_utils
import time:       305 |        305 |                 torch.optim._adafactor
import time:       318 |        318 |                 torch.optim._muon
import time:       292 |        292 |                 torch.optim._stateless
import time:       596 |        596 |                 torch.optim.adadelta
import time:       376 |        376 |                 torch.optim.adagrad
import time:       290 |        290 |                 torch.optim.adam
import time:       366 |        366 |                 torch.optim.adamax
import time:       192 |        192 |                 torch.optim.adamw
import time:       249 |        249 |                 torch.optim.asgd
import time:       239 |        239 |                 torch.optim.lbfgs
import time:       274 |        274 |                 torch.optim.nadam
import time:       264 |        264 |                 torch.optim.radam
import time:       257 |        257 |                 torch.optim.rmsprop
import time:       500 |        500 |                 torch.optim.rprop
import time:       230 |        230 |                 torch.optim.sgd
import time:       179 |        179 |                   torch.optim._functional
import time:       205 |        383 |                 torch.optim.sparse_adam
import time:       447 |       7037 |               torch.optim
import time:       344 |        344 |                   gzip
import time:       927 |        927 |                     torch.profiler._utils
import time:      2620 |       3546 |                   torch.profiler._memory_profiler
import time:       563 |       4452 |                 torch.profiler.profiler
import time:       267 |        267 |                 torch.profiler.itt
import time:       278 |       4996 |               torch.profiler
import time:       302 |        302 |               torch.special
import time:      1396 |       1396 |                 torch.xpu._utils
import time:       298 |        298 |                 torch.xpu.graphs
import time:       221 |        221 |                 torch.xpu.streams
import time:       386 |        386 |                 torch.xpu.memory
import time:       238 |        238 |                 torch.xpu.random
import time:       841 |       3378 |               torch.xpu
import time:       376 |        376 |                   torch.signal.windows.windows
import time:       296 |        672 |                 torch.signal.windows
import time:       182 |        854 |               torch.signal
import time:       220 |        220 |               torch.ao
import time:       390 |        390 |                   torch.ao.nn
import time:       957 |        957 |                     torch.ao.nn.intrinsic.modules.fused
import time:       176 |       1133 |                   torch.ao.nn.intrinsic.modules
import time:       251 |       1772 |                 torch.ao.nn.intrinsic
import time:       318 |        318 |                   torch.nn.intrinsic.modules.fused
import time:       299 |        616 |                 torch.nn.intrinsic.modules
import time:       440 |        440 |                                 torch.ao.nn.qat.modules.conv
import time:       344 |        344 |                                 torch.ao.nn.qat.modules.embedding_ops
import time:       432 |        432 |                                 torch.ao.nn.qat.modules.linear
import time:       332 |       1546 |                               torch.ao.nn.qat.modules
import time:       312 |       1858 |                             torch.ao.nn.qat
import time:       551 |       2408 |                           torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:       274 |        274 |                           torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:       232 |        232 |                           torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:       244 |       3156 |                         torch.ao.nn.intrinsic.qat.modules
import time:        92 |       3248 |                       torch.ao.nn.intrinsic.qat
import time:       186 |       3433 |                     torch.nn.intrinsic.qat.modules.conv_fused
import time:       181 |        181 |                     torch.nn.intrinsic.qat.modules.linear_fused
import time:       174 |        174 |                     torch.nn.intrinsic.qat.modules.linear_relu
import time:       327 |       4113 |                   torch.nn.intrinsic.qat.modules
import time:       161 |       4273 |                 torch.nn.intrinsic.qat
import time:       294 |        294 |                                             torch.ao.nn.quantizable.modules.activation
import time:       297 |        297 |                                             torch.ao.nn.quantizable.modules.rnn
import time:       169 |        760 |                                           torch.ao.nn.quantizable.modules
import time:       174 |        933 |                                         torch.ao.nn.quantizable
import time:       351 |        351 |                                         torch.ao.nn.quantized.modules.activation
import time:       310 |        310 |                                         torch.ao.nn.quantized.modules.batchnorm
import time:       396 |        396 |                                           torch.ao.nn.quantized.modules.utils
import time:       304 |        699 |                                         torch.ao.nn.quantized.modules.conv
import time:        93 |         93 |                                         torch.ao.nn.quantized.modules.dropout
import time:       270 |        270 |                                         torch.ao.nn.quantized.modules.embedding_ops
import time:       236 |        236 |                                         torch.ao.nn.quantized.modules.functional_modules
import time:       250 |        250 |                                         torch.ao.nn.quantized.modules.linear
import time:       167 |        167 |                                         torch.ao.nn.quantized.modules.normalization
import time:       186 |        186 |                                         torch.ao.nn.quantized.modules.rnn
import time:       388 |       3877 |                                       torch.ao.nn.quantized.modules
import time:        10 |       3887 |                                     torch.ao.nn.quantized.modules.utils
import time:       479 |       4365 |                                   torch.ao.nn.quantized.functional
import time:       321 |       4685 |                                 torch.ao.nn.quantized
import time:       266 |       4951 |                               torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:       203 |        203 |                               torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:       234 |        234 |                               torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:       224 |        224 |                               torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:       297 |       5907 |                             torch.ao.nn.intrinsic.quantized.modules
import time:       578 |       6485 |                           torch.ao.nn.intrinsic.quantized
import time:       233 |        233 |                                   torch.ao.nn.quantized.dynamic.modules.conv
import time:       227 |        227 |                                   torch.ao.nn.quantized.dynamic.modules.linear
import time:       452 |        452 |                                   torch.ao.nn.quantized.dynamic.modules.rnn
import time:       165 |       1076 |                                 torch.ao.nn.quantized.dynamic.modules
import time:       118 |       1194 |                               torch.ao.nn.quantized.dynamic
import time:       625 |       1818 |                             torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       231 |       2048 |                           torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:       183 |       8715 |                         torch.ao.nn.intrinsic.quantized.dynamic
import time:       140 |       8855 |                       torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       236 |       9091 |                     torch.nn.intrinsic.quantized.dynamic.modules
import time:       277 |       9367 |                   torch.nn.intrinsic.quantized.dynamic
import time:       209 |        209 |                     torch.nn.intrinsic.quantized.modules.bn_relu
import time:       193 |        193 |                     torch.nn.intrinsic.quantized.modules.conv_relu
import time:        74 |         74 |                     torch.nn.intrinsic.quantized.modules.linear_relu
import time:       202 |        676 |                   torch.nn.intrinsic.quantized.modules
import time:       299 |      10341 |                 torch.nn.intrinsic.quantized
import time:       385 |      17387 |               torch.nn.intrinsic
import time:       160 |        160 |                               torch.ao.nn.qat.dynamic.modules.linear
import time:       115 |        274 |                             torch.ao.nn.qat.dynamic.modules
import time:        84 |        358 |                           torch.ao.nn.qat.dynamic
import time:         9 |        366 |                         torch.ao.nn.qat.dynamic.modules
import time:         9 |        375 |                       torch.ao.nn.qat.dynamic.modules.linear
import time:       210 |        585 |                     torch.nn.qat.dynamic.modules.linear
import time:       109 |        693 |                   torch.nn.qat.dynamic.modules
import time:       230 |        923 |                 torch.nn.qat.dynamic
import time:       118 |        118 |                   torch.nn.qat.modules.conv
import time:       175 |        175 |                   torch.nn.qat.modules.embedding_ops
import time:       103 |        103 |                   torch.nn.qat.modules.linear
import time:       321 |        715 |                 torch.nn.qat.modules
import time:       101 |       1738 |               torch.nn.qat
import time:       245 |        245 |                 torch.nn.quantizable.modules
import time:       165 |        409 |               torch.nn.quantizable
import time:       915 |        915 |                 torch.nn.quantized.dynamic
import time:       207 |        207 |                 torch.nn.quantized.functional
import time:       207 |        207 |                 torch.nn.quantized.modules
import time:       742 |       2069 |               torch.nn.quantized
import time:        91 |         91 |               torch._size_docs
import time:        98 |         98 |               torch._storage_docs
import time:       646 |        646 |               torch._tensor_docs
import time:       166 |        166 |                             torch.ao.quantization.quant_type
import time:       493 |        658 |                           torch.ao.quantization.utils
import time:      1712 |       2370 |                         torch.ao.quantization.observer
import time:       484 |       2853 |                       torch.ao.quantization.fake_quantize
import time:       229 |        229 |                         torch.ao.quantization.fuser_method_mappings
import time:       465 |        694 |                       torch.ao.quantization.fuse_modules
import time:       516 |        516 |                       torch.ao.quantization.qconfig
import time:       288 |        288 |                       torch.ao.quantization.qconfig_mapping
import time:       443 |        443 |                               torch.ao.nn.quantized.reference.modules.utils
import time:       350 |        793 |                             torch.ao.nn.quantized.reference.modules.conv
import time:       113 |        113 |                             torch.ao.nn.quantized.reference.modules.linear
import time:       449 |        449 |                             torch.ao.nn.quantized.reference.modules.rnn
import time:       187 |        187 |                             torch.ao.nn.quantized.reference.modules.sparse
import time:       314 |       1854 |                           torch.ao.nn.quantized.reference.modules
import time:       190 |       2044 |                         torch.ao.nn.quantized.reference
import time:       255 |        255 |                                 torch.ao.nn.sparse.quantized.linear
import time:       230 |        230 |                                 torch.ao.nn.sparse.quantized.utils
import time:       321 |        805 |                               torch.ao.nn.sparse.quantized.dynamic.linear
import time:       161 |        966 |                             torch.ao.nn.sparse.quantized.dynamic
import time:       215 |       1180 |                           torch.ao.nn.sparse.quantized
import time:       187 |       1367 |                         torch.ao.nn.sparse
import time:       182 |        182 |                         torch.ao.quantization.stubs
import time:       438 |       4028 |                       torch.ao.quantization.quantization_mappings
import time:       342 |        342 |                       torch.ao.quantization.quantize
import time:       189 |        189 |                       torch.ao.quantization.quantize_jit
import time:       443 |       9351 |                     torch.ao.quantization
import time:        13 |       9363 |                   torch.ao.quantization.fake_quantize
import time:       202 |       9565 |                 torch.quantization.fake_quantize
import time:       178 |        178 |                 torch.quantization.fuse_modules
import time:       244 |        244 |                 torch.quantization.fuser_method_mappings
import time:       119 |        119 |                 torch.quantization.observer
import time:       169 |        169 |                 torch.quantization.qconfig
import time:       230 |        230 |                 torch.quantization.quant_type
import time:       130 |        130 |                 torch.quantization.quantization_mappings
import time:       568 |        568 |                 torch.quantization.quantize
import time:       294 |        294 |                 torch.quantization.quantize_jit
import time:        79 |         79 |                 torch.quantization.stubs
import time:       270 |      11842 |               torch.quantization
import time:       214 |        214 |               torch.quasirandom
import time:       171 |        171 |               torch.multiprocessing._atfork
import time:       546 |        546 |               torch._lobpcg
import time:       318 |        318 |                   torch.masked._docs
import time:       357 |        357 |                         torch.masked.maskedtensor.core
import time:      1816 |       2173 |                       torch.masked.maskedtensor.binary
import time:       396 |        396 |                       torch.masked.maskedtensor.passthrough
import time:        81 |         81 |                         torch.masked.maskedtensor.creation
import time:       498 |        578 |                       torch.masked.maskedtensor.reductions
import time:      1492 |       1492 |                       torch.masked.maskedtensor.unary
import time:       250 |       4887 |                     torch.masked.maskedtensor
import time:        11 |       4897 |                   torch.masked.maskedtensor.core
import time:       768 |       5982 |                 torch.masked._ops
import time:       257 |       6239 |               torch.masked
